Año,Trimestre,IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones
2013,1,232773,298.16599527994794,5.012359649122807,8.859111111111114,2888981.0
2013,2,233504,308.79966227213544,5.238541666666663,8.656923076923084,3387811.0
2013,3,234149,331.10300699869794,5.584181250000001,9.75627118644068,3436547.0
2013,4,233049,351.37900797526044,6.050141666666666,11.430333333333332,3679896.0
2014,1,236293,401.6266682942708,7.600366666666665,11.144137931034482,3917649.0
2014,2,238343,432.90565999348956,8.057413559322034,13.441406250000005,4702630.0
2014,3,238031,460.75767008463544,8.298190625,13.783333333333331,4685503.0
2014,4,234812,491.38800048828125,8.512879661016948,13.24051724137931,5010564.0
2015,1,236119,518.4159952799479,8.68770847457627,12.715737704918032,5092694.0
2015,2,238638,548.6230061848959,8.955016393442627,15.059846153846154,5951479.0
2015,3,237945,583.6739908854166,9.250553124999998,15.171147540983608,6221731.0
2015,4,236525,620.5853271484375,10.179228333333329,14.971333333333327,6552140.0
2016,1,238132,696.5503336588541,14.479411666666667,14.695084745762708,6962845.0
2016,2,241038,750.67431640625,14.230766129032252,15.389999999999997,8401125.0
2016,3,241428,790.7540079752604,14.954682812500005,15.941967213114749,8448890.0
2016,4,241432,832.9119873046875,15.448354098360657,16.463114754098367,8942135.0
2017,1,243801,880.00732421875,15.681172580645157,16.170161290322582,9157377.0
2017,2,244955,925.399658203125,15.743156666666668,17.96578125,10595155.0
2017,3,246819,962.6768985534669,17.279521875,18.083220338983057,10937240.0
2017,4,246524,1013.7716067773438,17.544323333333335,20.158666666666665,11533613.0
2018,1,249554,1083.2150884442137,19.675525,24.260192307692304,11975804.0
2018,2,251989,1169.2579507434082,23.536498333333338,28.803333333333335,
