Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,3,Buenos Aires,4715469,6199,4721668
2022,3,Capital Federal,1545534,2145,1547679
2022,3,Catamarca,70292,1,70293
2022,3,Chaco,144141,5,144146
2022,3,Chubut,164874,904,165778
2022,3,Córdoba,1038600,68,1038668
2022,3,Corrientes,144842,4,144846
2022,3,Entre Ríos,268937,22,268959
2022,3,Formosa,68537,1,68538
2022,3,Jujuy,118823,0,118823
2022,3,La Pampa,115921,171,116092
2022,3,La Rioja,86860,4,86864
2022,3,Mendoza,288746,777,289523
2022,3,Misiones,182157,0,182157
2022,3,Neuquén,162693,468,163161
2022,3,Río Negro,160010,548,160558
2022,3,Salta,204536,5,204541
2022,3,San Juan,103118,281,103399
2022,3,San Luis,121888,182,122070
2022,3,Santa Cruz,49312,198,49510
2022,3,Santa Fe,887700,110,887810
2022,3,Santiago Del Estero,119030,2,119032
2022,3,Tierra Del Fuego,53584,312,53896
2022,3,Tucumán,263087,30,263117
2022,2,Buenos Aires,4660984,6199,4667183
2022,2,Capital Federal,1534626,2145,1536771
2022,2,Catamarca,67007,1,67008
2022,2,Chaco,143559,5,143564
2022,2,Chubut,161901,904,162805
2022,2,Córdoba,1026367,68,1026435
2022,2,Corrientes,144993,4,144997
2022,2,Entre Ríos,269330,22,269352
2022,2,Formosa,67881,0,67881
2022,2,Jujuy,115314,0,115314
2022,2,La Pampa,111356,171,111527
2022,2,La Rioja,86026,4,86030
2022,2,Mendoza,278785,777,279562
2022,2,Misiones,178813,0,178813
2022,2,Neuquén,161500,468,161968
2022,2,Río Negro,159216,548,159764
2022,2,Salta,203172,5,203177
2022,2,San Juan,100126,281,100407
2022,2,San Luis,121559,182,121741
2022,2,Santa Cruz,48987,198,49185
2022,2,Santa Fe,878749,110,878859
2022,2,Santiago Del Estero,118042,2,118044
2022,2,Tierra Del Fuego,53458,312,53770
2022,2,Tucumán,254497,30,254527
2022,1,Buenos Aires,4549131,6293,4555424
2022,1,Capital Federal,1415378,2163,1417541
2022,1,Catamarca,62377,1,62378
2022,1,Chaco,144114,5,144119
2022,1,Chubut,170701,927,171628
2022,1,Córdoba,1003729,74,1003803
2022,1,Corrientes,142574,4,142578
2022,1,Entre Ríos,267904,22,267926
2022,1,Formosa,54548,0,54548
2022,1,Jujuy,116509,0,116509
2022,1,La Pampa,109560,172,109732
2022,1,La Rioja,84299,4,84303
2022,1,Mendoza,274399,786,275185
2022,1,Misiones,171508,0,171508
2022,1,Neuquén,149208,471,149679
2022,1,Río Negro,156821,553,157374
2022,1,Salta,197510,5,197515
2022,1,San Juan,87888,290,88178
2022,1,San Luis,119659,185,119844
2022,1,Santa Cruz,48898,204,49102
2022,1,Santa Fe,870364,115,870479
2022,1,Santiago Del Estero,116459,2,116461
2022,1,Tierra Del Fuego,52298,313,52611
2022,1,Tucumán,245554,30,245584
2021,4,Buenos Aires,4502772,6385,4509157
2021,4,Capital Federal,1409935,2184,1412119
2021,4,Catamarca,59089,1,59090
2021,4,Chaco,143740,5,143745
2021,4,Chubut,159364,944,160308
2021,4,Córdoba,986693,77,986770
2021,4,Corrientes,135908,4,135912
2021,4,Entre Ríos,265024,22,265046
2021,4,Formosa,53663,0,53663
2021,4,Jujuy,113915,0,113915
2021,4,La Pampa,106834,173,107007
2021,4,La Rioja,83124,4,83128
2021,4,Mendoza,266783,804,267587
2021,4,Misiones,171132,0,171132
2021,4,Neuquén,146989,477,147466
2021,4,Río Negro,153189,564,153753
2021,4,Salta,199399,6,199405
2021,4,San Juan,79667,291,79958
2021,4,San Luis,118662,187,118849
2021,4,Santa Cruz,48276,210,48486
2021,4,Santa Fe,866265,176,866441
2021,4,Santiago Del Estero,115859,2,115861
2021,4,Tierra Del Fuego,52042,315,52357
2021,4,Tucumán,238609,30,238639
2021,3,Buenos Aires,4246425,5184,4251609
2021,3,Capital Federal,1411797,1608,1413405
2021,3,Catamarca,56253,1,56254
2021,3,Chaco,139868,3,139871
2021,3,Chubut,155266,800,156066
2021,3,Córdoba,946726,62,946788
2021,3,Corrientes,133816,3,133819
2021,3,Entre Ríos,260360,15,260375
2021,3,Formosa,52795,0,52795
2021,3,Jujuy,111158,0,111158
2021,3,La Pampa,100371,116,100487
2021,3,La Rioja,82157,3,82160
2021,3,Mendoza,255320,619,255939
2021,3,Misiones,158528,0,158528
2021,3,Neuquén,139436,373,139809
2021,3,Río Negro,144084,501,144585
2021,3,Salta,195831,2,195833
2021,3,San Juan,79227,256,79483
2021,3,San Luis,117716,148,117864
2021,3,Santa Cruz,48779,197,48976
2021,3,Santa Fe,841433,151,841584
2021,3,Santiago Del Estero,115457,1,115458
2021,3,Tierra Del Fuego,49934,289,50223
2021,3,Tucumán,232447,25,232472
2021,2,Buenos Aires,4127167,5184,4132351
2021,2,Capital Federal,1398747,1608,1400355
2021,2,Catamarca,55743,1,55744
2021,2,Chaco,140726,3,140729
2021,2,Chubut,138412,825,139237
2021,2,Córdoba,930818,62,930880
2021,2,Corrientes,129498,3,129501
2021,2,Entre Ríos,257617,15,257632
2021,2,Formosa,51551,0,51551
2021,2,Jujuy,111848,0,111848
2021,2,La Pampa,97551,116,97667
2021,2,La Rioja,81599,3,81602
2021,2,Mendoza,229052,619,229671
2021,2,Misiones,156176,0,156176
2021,2,Neuquén,137877,373,138250
2021,2,Río Negro,143583,501,144084
2021,2,Salta,191637,2,191639
2021,2,San Juan,78677,256,78933
2021,2,San Luis,122670,148,122818
2021,2,Santa Cruz,48785,197,48982
2021,2,Santa Fe,840449,151,840600
2021,2,Santiago Del Estero,114089,1,114090
2021,2,Tierra Del Fuego,35404,289,35693
2021,2,Tucumán,233026,25,233051
2021,1,Buenos Aires,4054936,5066,4060002
2021,1,Capital Federal,1378283,1390,1379673
2021,1,Catamarca,51967,1,51968
2021,1,Chaco,139767,3,139770
2021,1,Chubut,131515,825,132340
2021,1,Córdoba,910826,55,910881
2021,1,Corrientes,126622,3,126625
2021,1,Entre Ríos,251950,13,251963
2021,1,Formosa,50686,0,50686
2021,1,Jujuy,110456,0,110456
2021,1,La Pampa,96989,116,97105
2021,1,La Rioja,52625,3,52628
2021,1,Mendoza,218308,615,218923
2021,1,Misiones,149387,0,149387
2021,1,Neuquén,132862,373,133235
2021,1,Río Negro,140667,501,141168
2021,1,Salta,187572,2,187574
2021,1,San Juan,78011,256,78267
2021,1,San Luis,119006,148,119154
2021,1,Santa Cruz,45868,197,46065
2021,1,Santa Fe,825990,137,826127
2021,1,Santiago Del Estero,111640,1,111641
2021,1,Tierra Del Fuego,40133,289,40422
2021,1,Tucumán,231890,22,231912
2020,4,Buenos Aires,4028195,5066,4033261
2020,4,Capital Federal,1378140,1390,1379530
2020,4,Catamarca,52395,1,52396
2020,4,Chaco,139088,3,139091
2020,4,Chubut,129749,825,130574
2020,4,Córdoba,902646,55,902701
2020,4,Corrientes,125656,3,125659
2020,4,Entre Ríos,247368,13,247381
2020,4,Formosa,50206,0,50206
2020,4,Jujuy,105851,0,105851
2020,4,La Pampa,96779,116,96895
2020,4,La Rioja,52775,3,52778
2020,4,Mendoza,214838,615,215453
2020,4,Misiones,147161,0,147161
2020,4,Neuquén,132762,373,133135
2020,4,Río Negro,140709,501,141210
2020,4,Salta,187388,2,187390
2020,4,San Juan,72340,256,72596
2020,4,San Luis,119287,148,119435
2020,4,Santa Cruz,40477,197,40674
2020,4,Santa Fe,820676,137,820813
2020,4,Santiago Del Estero,106668,1,106669
2020,4,Tierra Del Fuego,39325,289,39614
2020,4,Tucumán,231067,22,231089
2020,3,Buenos Aires,3932211,5066,3937277
2020,3,Capital Federal,1371285,1390,1372675
2020,3,Catamarca,49903,1,49904
2020,3,Chaco,133951,3,133954
2020,3,Chubut,129202,825,130027
2020,3,Córdoba,867417,55,867472
2020,3,Corrientes,123388,3,123391
2020,3,Entre Ríos,241482,13,241495
2020,3,Formosa,49209,0,49209
2020,3,Jujuy,106728,0,106728
2020,3,La Pampa,93619,116,93735
2020,3,La Rioja,52613,3,52616
2020,3,Mendoza,207173,615,207788
2020,3,Misiones,143186,0,143186
2020,3,Neuquén,128862,373,129235
2020,3,Río Negro,130966,501,131467
2020,3,Salta,180844,2,180846
2020,3,San Juan,77071,256,77327
2020,3,San Luis,116417,148,116565
2020,3,Santa Cruz,39084,197,39281
2020,3,Santa Fe,802861,137,802998
2020,3,Santiago Del Estero,105491,1,105492
2020,3,Tierra Del Fuego,39366,289,39655
2020,3,Tucumán,223854,22,223876
2020,2,Buenos Aires,3772480,5066,3777546
2020,2,Capital Federal,1356431,1390,1357821
2020,2,Catamarca,47975,1,47976
2020,2,Chaco,128129,3,128132
2020,2,Chubut,107831,825,108656
2020,2,Córdoba,836413,55,836468
2020,2,Corrientes,118863,3,118866
2020,2,Entre Ríos,234100,13,234113
2020,2,Formosa,47932,0,47932
2020,2,Jujuy,94316,0,94316
2020,2,La Pampa,89693,116,89809
2020,2,La Rioja,52152,3,52155
2020,2,Mendoza,200569,615,201184
2020,2,Misiones,140340,0,140340
2020,2,Neuquén,125799,373,126172
2020,2,Río Negro,128985,501,129486
2020,2,Salta,177760,2,177762
2020,2,San Juan,69521,256,69777
2020,2,San Luis,113804,148,113952
2020,2,Santa Cruz,38672,197,38869
2020,2,Santa Fe,777795,137,777932
2020,2,Santiago Del Estero,105446,1,105447
2020,2,Tierra Del Fuego,38900,289,39189
2020,2,Tucumán,217134,22,217156
2020,1,Buenos Aires,3702985,5066,3708051
2020,1,Capital Federal,1352104,1390,1353494
2020,1,Catamarca,39634,1,39635
2020,1,Chaco,120274,3,120277
2020,1,Chubut,95938,800,96738
2020,1,Córdoba,811044,55,811099
2020,1,Corrientes,113967,3,113970
2020,1,Entre Ríos,231833,13,231846
2020,1,Formosa,46434,0,46434
2020,1,Jujuy,91665,0,91665
2020,1,La Pampa,89110,116,89226
2020,1,La Rioja,48337,3,48340
2020,1,Mendoza,182837,615,183452
2020,1,Misiones,133552,0,133552
2020,1,Neuquén,121354,373,121727
2020,1,Río Negro,125699,501,126200
2020,1,Salta,170379,2,170381
2020,1,San Juan,63975,256,64231
2020,1,San Luis,110404,148,110552
2020,1,Santa Cruz,38625,197,38822
2020,1,Santa Fe,770981,137,771118
2020,1,Santiago Del Estero,102754,1,102755
2020,1,Tierra Del Fuego,38505,289,38794
2020,1,Tucumán,200045,22,200067
2019,4,Buenos Aires,3681120,5134,3686254
2019,4,Capital Federal,1356695,1410,1358105
2019,4,Catamarca,38310,1,38311
2019,4,Chaco,117900,3,117903
2019,4,Chubut,95292,810,96102
2019,4,Córdoba,806633,55,806688
2019,4,Corrientes,113831,3,113834
2019,4,Entre Ríos,239017,13,239030
2019,4,Formosa,46711,0,46711
2019,4,Jujuy,88881,0,88881
2019,4,La Pampa,90280,119,90399
2019,4,La Rioja,48999,3,49002
2019,4,Mendoza,185157,623,185780
2019,4,Misiones,135813,0,135813
2019,4,Neuquén,116069,376,116445
2019,4,Río Negro,126636,504,127140
2019,4,Salta,172443,2,172445
2019,4,San Juan,64715,259,64974
2019,4,San Luis,108053,148,108201
2019,4,Santa Cruz,39170,200,39370
2019,4,Santa Fe,769019,150,769169
2019,4,Santiago Del Estero,103587,1,103588
2019,4,Tierra Del Fuego,40101,291,40392
2019,4,Tucumán,198621,23,198644
2019,3,Buenos Aires,3950114,10119,3960233
2019,3,Capital Federal,1437734,3477,1441211
2019,3,Catamarca,32391,9,32400
2019,3,Chaco,114438,13,114451
2019,3,Chubut,87481,1524,89005
2019,3,Córdoba,782946,107,783053
2019,3,Corrientes,112749,10,112759
2019,3,Entre Ríos,238057,45,238102
2019,3,Formosa,46066,0,46066
2019,3,Jujuy,86575,1,86576
2019,3,La Pampa,90559,269,90828
2019,3,La Rioja,49659,18,49677
2019,3,Mendoza,223015,1322,224337
2019,3,Misiones,133883,0,133883
2019,3,Neuquén,123435,1986,125421
2019,3,Río Negro,143391,904,144295
2019,3,Salta,151834,1,151835
2019,3,San Juan,72535,563,73098
2019,3,San Luis,122409,291,122700
2019,3,Santa Cruz,37642,328,37970
2019,3,Santa Fe,760706,228,760934
2019,3,Santiago Del Estero,133130,2,133132
2019,3,Tierra Del Fuego,48043,544,48587
2019,3,Tucumán,164099,32,164131
2019,2,Buenos Aires,3845594,10104,3855698
2019,2,Capital Federal,1412177,3443,1415620
2019,2,Catamarca,33626,9,33635
2019,2,Chaco,108721,13,108734
2019,2,Chubut,86038,1518,87556
2019,2,Córdoba,775023,105,775128
2019,2,Corrientes,111539,10,111549
2019,2,Entre Ríos,235780,44,235824
2019,2,Formosa,46438,0,46438
2019,2,Jujuy,86706,1,86707
2019,2,La Pampa,89937,268,90205
2019,2,La Rioja,50283,18,50301
2019,2,Mendoza,222535,1322,223857
2019,2,Misiones,132878,0,132878
2019,2,Neuquén,120954,1999,122953
2019,2,Río Negro,137632,915,138547
2019,2,Salta,142567,1,142568
2019,2,San Juan,69461,564,70025
2019,2,San Luis,117094,291,117385
2019,2,Santa Cruz,30225,325,30550
2019,2,Santa Fe,743258,226,743484
2019,2,Santiago Del Estero,126752,2,126754
2019,2,Tierra Del Fuego,46910,544,47454
2019,2,Tucumán,166299,32,166331
2019,1,Buenos Aires,3736563,10104,3746667
2019,1,Capital Federal,1396157,3443,1399600
2019,1,Catamarca,33613,9,33622
2019,1,Chaco,103664,13,103677
2019,1,Chubut,78260,1518,79778
2019,1,Córdoba,744010,105,744115
