,Año,Trimestre,IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones
0,2013,1,232773,298,5.0,9.0,2888981
1,2013,2,233504,309,5.0,9.0,3387811
2,2013,3,234149,331,6.0,10.0,3436547
3,2013,4,233049,351,6.0,11.0,3679896
4,2014,1,236293,402,8.0,11.0,3917649
5,2014,2,238343,433,8.0,13.0,4702630
6,2014,3,238031,461,8.0,14.0,4685503
7,2014,4,234812,491,9.0,13.0,5010564
8,2015,1,236119,518,9.0,13.0,5092694
9,2015,2,238638,549,9.0,15.0,5951479
10,2015,3,237945,584,9.0,15.0,6221731
11,2015,4,236525,621,10.0,15.0,6552140
12,2016,1,238132,697,14.0,15.0,6962845
13,2016,2,241038,751,14.0,15.0,8401125
14,2016,3,241428,791,15.0,16.0,8448890
15,2016,4,241432,833,15.0,16.0,8942135
16,2017,1,243801,880,16.0,16.0,9157377
17,2017,2,244955,925,16.0,18.0,10595155
18,2017,3,246819,963,17.0,18.0,10937240
19,2017,4,246524,1014,18.0,20.0,11533613
20,2018,1,249554,1083,20.0,24.0,11975804
21,2018,2,251989,1169,24.0,29.0,0
